,Country,Region,Year,Infant Deaths,Under_Five Deaths,Adult Mortality,Alcohol Consumption,Hepatitis B,Measles,BMI,Polio,Diphtheria,Incidents of HIV,GDP(per capita),Population,Thinness (ten to nineteen years),Thinness (five to nine years),Schooling,Life Expectancy,Economy Status,Infant Deaths_lag1,Under_Five Deaths_lag1,Adult Mortality_lag1,Alcohol Consumption_lag1,Hepatitis B_lag1,Measles_lag1,BMI_lag1,Polio_lag1,Diphtheria_lag1,Incidents of HIV_lag1,GDP(per capita)_lag1,Population_lag1,Thinness (ten to nineteen years)_lag1,Thinness (five to nine years)_lag1,Schooling_lag1,Life Expectancy_lag1,Infant Deaths_lag2,Under_Five Deaths_lag2,Adult Mortality_lag2,Alcohol Consumption_lag2,Hepatitis B_lag2,Measles_lag2,BMI_lag2,Polio_lag2,Diphtheria_lag2,Incidents of HIV_lag2,GDP(per capita)_lag2,Population_lag2,Thinness (ten to nineteen years)_lag2,Thinness (five to nine years)_lag2,Schooling_lag2,Life Expectancy_lag2
0,Afghanistan,Asia,2000,90.5,129.2,310.8305,0.02,62,12,21.7,24,24,0.02,148,20.78,2.3,2.5,2.2,55.8,Developing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Afghanistan,Asia,2001,87.9,125.2,304.858,0.02,63,13,21.8,35,33,0.02,163,21.61,2.1,2.4,2.2,56.3,Developing,90.5,129.2,310.8305,0.02,62.0,12.0,21.7,24.0,24.0,0.02,148.0,20.78,2.3,2.5,2.2,55.8,,,,,,,,,,,,,,,,
2,Afghanistan,Asia,2002,85.3,121.1,298.8855,0.02,64,14,21.9,36,36,0.02,320,22.6,19.9,2.2,2.3,56.8,Developing,87.9,125.2,304.858,0.02,63.0,13.0,21.8,35.0,33.0,0.02,163.0,21.61,2.1,2.4,2.2,56.3,90.5,129.2,310.8305,0.02,62.0,12.0,21.7,24.0,24.0,0.02,148.0,20.78,2.3,2.5,2.2,55.8
3,Afghanistan,Asia,2003,82.7,116.9,292.0365,0.02,65,15,22.0,41,41,0.02,332,23.68,19.7,19.9,2.4,57.3,Developing,85.3,121.1,298.8855,0.02,64.0,14.0,21.9,36.0,36.0,0.02,320.0,22.6,19.9,2.2,2.3,56.8,87.9,125.2,304.858,0.02,63.0,13.0,21.8,35.0,33.0,0.02,163.0,21.61,2.1,2.4,2.2,56.3
4,Afghanistan,Asia,2004,80.0,112.6,285.188,0.02,67,16,22.1,50,50,0.02,323,24.73,19.5,19.7,2.5,57.8,Developing,82.7,116.9,292.0365,0.02,65.0,15.0,22.0,41.0,41.0,0.02,332.0,23.68,19.7,19.9,2.4,57.3,85.3,121.1,298.8855,0.02,64.0,14.0,21.9,36.0,36.0,0.02,320.0,22.6,19.9,2.2,2.3,56.8
5,Afghanistan,Asia,2005,77.3,108.4,278.3395,0.016,66,17,22.2,58,58,0.02,346,25.65,19.3,19.5,2.6,58.3,Developing,80.0,112.6,285.188,0.02,67.0,16.0,22.1,50.0,50.0,0.02,323.0,24.73,19.5,19.7,2.5,57.8,82.7,116.9,292.0365,0.02,65.0,15.0,22.0,41.0,41.0,0.02,332.0,23.68,19.7,19.9,2.4,57.3
6,Afghanistan,Asia,2006,74.6,104.1,271.4905,0.026,64,18,22.3,58,58,0.02,354,26.43,19.2,19.3,2.7,58.8,Developing,77.3,108.4,278.3395,0.016,66.0,17.0,22.2,58.0,58.0,0.02,346.0,25.65,19.3,19.5,2.6,58.3,80.0,112.6,285.188,0.02,67.0,16.0,22.1,50.0,50.0,0.02,323.0,24.73,19.5,19.7,2.5,57.8
7,Afghanistan,Asia,2007,71.9,99.9,264.6415,0.018,63,21,22.4,63,63,0.02,393,27.1,19.0,19.1,2.9,59.4,Developing,74.6,104.1,271.4905,0.026,64.0,18.0,22.3,58.0,58.0,0.02,354.0,26.43,19.2,19.3,2.7,58.8,77.3,108.4,278.3395,0.016,66.0,17.0,22.2,58.0,58.0,0.02,346.0,25.65,19.3,19.5,2.6,58.3
8,Afghanistan,Asia,2008,69.2,95.7,259.806,0.028,64,23,22.5,64,64,0.02,399,27.72,18.8,18.9,3.0,59.9,Developing,71.9,99.9,264.6415,0.018,63.0,21.0,22.4,63.0,63.0,0.02,393.0,27.1,19.0,19.1,2.9,59.4,74.6,104.1,271.4905,0.026,64.0,18.0,22.3,58.0,58.0,0.02,354.0,26.43,19.2,19.3,2.7,58.8
9,Afghanistan,Asia,2009,66.7,91.7,254.9705,0.01,63,24,22.6,63,63,0.02,473,28.39,18.6,18.7,3.1,60.5,Developing,69.2,95.7,259.806,0.028,64.0,23.0,22.5,64.0,64.0,0.02,399.0,27.72,18.8,18.9,3.0,59.9,71.9,99.9,264.6415,0.018,63.0,21.0,22.4,63.0,63.0,0.02,393.0,27.1,19.0,19.1,2.9,59.4
